,,,,,,
,id,room_id,start_date,end_date,reason,created_at
,7da968ac-a8d9-476d-9698-aea6dc32038c,398fa8b8-db49-42b3-9a45-f85f24f4fd25,2/12/2025,14/2/2025,Maintenance,29/1/2025 10:18:42
,7606acae-1fd3-4acc-8287-dece2cc60098,d9833768-e13e-4cd7-93ca-6cc9b430ada7,3/5/2025,3/7/2025,Private booking,16/2/2025 14:35:09
,d947e987-23b1-486a-9ee7-2eb51dfd7b44,54948a0b-e6d1-4f93-84ff-867a997614f4,22/3/2025,25/3/2025,Deep cleaning,1/3/2025 9:42
,9fcfd3c5-87b8-4bc0-986b-8d6756b8e91a,a01790e8-238d-4db5-948d-340db3cb65f9,4/10/2025,4/12/2025,Repair work,28/3/2025 16:11:54
,0a9c876f-2935-4614-99b2-92a07d496ab3,f327f7a6-8595-4f6e-b8e5-608679bac92e,29/4/2025,5/2/2025,Owner use,12/4/2025 8:27
,0ba370ac-32ac-40c0-b687-02d6eb3253bb,a52086b1-b2c6-43fb-be8e-4cd9f64d497b,16/5/2025,18/5/2025,Renovation,30/4/2025 12:50:21
,f0112043-d5f6-4b02-8c0c-76b7970abc3d,c62f4606-6ed4-45e5-a0cf-3b5d1519d9e4,6/1/2025,6/3/2025,Plumbing issue,20/5/2025 18:04:13
,8d59ba65-570d-42dc-9ad5-e0f701bb5bad,74ca2e56-3d9a-4746-877b-a4c909e1d2df,19/6/2025,21/6/2025,Air conditioner repair,2/6/2025 7:33
,935c95a6-b1d8-4720-9589-d3b3faee4de0,3c0a0071-39df-428b-b279-99ccedf111ab,7/8/2025,7/12/2025,Long-term hold,23/6/2025 11:29:05
,ae73292c-3302-4d51-812e-3fe8826f5c5c,ba679fe6-0038-46e3-b8f6-94da63f7c208,26/7/2025,28/7/2025,Pest control,10/7/2025 15:16
,0bd2f799-6ae0-4c75-a13d-f598742f19cb,4849d2eb-d929-42a4-a8a1-e2bfff3bebe5,14/8/2025,16/8/2025,Electrical repair,31/7/2025 9:08:56
,ae50a29a-b9c7-412e-8bf8-45dc2204791b,b1e486e9-d4a7-4c0c-9340-003c83e55ad3,9/3/2025,9/6/2025,Staff inspection,18/8/2025 13:45:22
,f86109b8-8f62-4a9b-86a1-121bf9d87990,360630b0-a7fa-40c1-8741-025505c51d8d,21/9/2025,23/9/2025,Furniture replacement,4/9/2025 17:22
,cf139e3f-d093-423c-9c7c-f67294252b11,0d6400d0-137f-4c9c-b133-72b82c076e0c,10/9/2025,10/11/2025,Window repair,26/9/2025 8:59:31
,f1690162-6634-4ba5-bbe3-b845fa140e3e,8114d5b3-2e0a-4e32-b9e4-9c2c95dfd572,11/2/2025,11/5/2025,Seasonal maintenance,15/10/2025 19:10:07
,cc40d4ca-056e-47bb-9cd4-3bc47e65ee7c,9a088d75-4ec3-44bf-b303-a04449ed9c89,18/11/2025,20/11/2025,Painting,1/11/2025 10:40
,3ffb05c6-3aa1-4443-8583-cca098cacde4,58b89b62-a7a0-42cb-8dfc-4d1936cf2459,12/6/2025,12/8/2025,Equipment upgrade,21/11/2025 14:06:28
,64d5a20f-93be-459e-adf7-15fb43a01096,ed495f57-c962-43e6-a247-9cd9806ac0aa,24/12/2025,27/12/2025,Holiday block,5/12/2025 9:37
